order_item_id,order_id,product_id,quantity,unit_price,discount_amount
9,6,3,2,150.0,30
10,7,16,4,45.0,0
11,7,17,2,40.0,20
12,8,11,3,75.0,15
13,8,22,4,45.0,0
14,8,4,4,300.0,80
15,8,6,5,120.0,0
16,9,17,5,40.0,25
17,9,27,4,32.0,0
18,9,1,2,1200.0,20
19,9,22,3,45.0,30
20,10,10,4,280.0,0
21,10,15,1,130.0,15
22,11,18,4,220.0,0
23,12,23,4,110.0,80
24,12,10,4,280.0,20
25,12,17,2,40.0,10
26,12,9,5,95.0,0
27,13,11,1,75.0,0
28,13,26,3,18.0,60
29,13,17,5,40.0,50
30,13,9,4,95.0,80
31,14,15,2,130.0,20
32,14,11,4,75.0,0
33,14,7,4,60.0,0
34,14,23,3,110.0,45
35,15,16,2,45.0,20
36,15,2,5,800.0,0
37,16,14,2,55.0,0
38,16,21,4,90.0,80
39,17,22,3,45.0,45
40,17,18,4,220.0,80
41,17,13,5,220.0,0
42,18,14,1,55.0,20
43,19,26,3,18.0,0
44,19,2,4,800.0,0
45,19,10,2,280.0,20
46,20,20,4,160.0,40
47,21,15,1,130.0,20
48,21,9,4,95.0,0
49,21,22,5,45.0,0
50,22,15,4,130.0,80
51,22,10,4,280.0,0
52,22,7,2,60.0,10
53,23,27,4,32.0,0
54,24,27,2,32.0,20
55,24,10,3,280.0,0
56,24,25,2,140.0,20
57,24,26,3,18.0,45
58,25,19,3,85.0,45
59,26,5,5,25.0,0
60,26,26,5,18.0,50
61,27,26,1,18.0,0
62,27,4,2,300.0,40
63,27,15,4,130.0,80
64,28,12,5,180.0,25
65,28,22,3,45.0,0
66,28,24,2,30.0,10
67,28,9,1,95.0,10
68,29,23,1,110.0,0
69,29,10,1,280.0,0
70,29,21,3,90.0,15
71,29,14,1,55.0,0
72,30,19,1,85.0,20
73,30,24,4,30.0,40
74,30,5,4,25.0,0
75,30,14,1,55.0,15
76,31,22,3,45.0,30
77,32,3,5,150.0,0
78,32,22,1,45.0,20
79,32,7,3,60.0,0
80,32,21,2,90.0,40
81,33,11,2,75.0,40
82,33,25,5,140.0,0
83,34,5,1,25.0,0
84,35,5,4,25.0,40
85,36,17,4,40.0,40
86,36,19,2,85.0,20
87,36,4,1,300.0,15
88,37,14,4,55.0,0
89,37,22,1,45.0,0
90,37,4,5,300.0,0
91,37,16,1,45.0,0
92,38,15,4,130.0,0
93,38,17,1,40.0,20
94,38,20,5,160.0,75
95,39,13,3,220.0,15
96,39,14,3,55.0,45
97,39,24,3,30.0,0
98,39,4,2,300.0,30
99,40,24,3,30.0,60
100,41,12,1,180.0,0
101,41,22,5,45.0,0
102,41,25,3,140.0,0
103,41,14,5,55.0,50
104,42,18,3,220.0,30
105,42,12,2,180.0,40
106,42,4,4,300.0,80
107,43,1,3,1200.0,0
108,43,6,3,120.0,0
109,43,9,2,95.0,40
110,44,3,5,150.0,0
111,45,24,5,30.0,50
112,45,11,1,75.0,0
113,45,25,2,140.0,0
114,46,16,3,45.0,0
115,46,20,5,160.0,0
116,46,15,3,130.0,15
117,46,14,1,55.0,0
118,47,20,3,160.0,0
119,47,2,2,800.0,40
120,47,1,3,1200.0,0
121,47,7,3,60.0,0
122,48,18,5,220.0,100
123,48,23,3,110.0,0
124,48,8,4,35.0,80
125,48,17,1,40.0,5
126,49,23,1,110.0,5
127,49,21,1,90.0,0
128,49,14,2,55.0,40
